index;name;label;valueType;...5;...6
1;a_id;ID of the participant;integer;;
2;acsex;sex;integer;;
3;atalteru;age;decimal;;
4;AI13ABSC;highest school or university degree;integer;;
5;AI14ABSC;highest vocational degree;integer;;
6;atcigsmk;smoking status;integer;;
7;atbmi;BMI;decimal;;
8;akcal;energy;decimal;;
9;AV410;potatoes;decimal;;
10;AV420;potato products;decimal;;
11;AV431;cauliflower;decimal;;
12;AV433;other cabbage;decimal;;
13;AV440;leafy and stem vegetables;decimal;;
14;AV451;tomatoes;decimal;;
15;AV455;cucumbers;decimal;;
16;AV459;other fruit vegetables;decimal;;
17;AV461;onion vegetables;decimal;;
18;AV465;carrots;decimal;;
19;AV469;other fresh vegetables;decimal;;
20;AV470;frozen vegetables;decimal;;
21;AV480;canned vegetables;decimal;;
22;AV491;dry legumes;decimal;;
23;AV499;other vegetable products;decimal;;
24;AV310;fruit without specification;decimal;;
25;AV311;apples;decimal;;
26;AV315;other pome fruits;decimal;;
27;AV321;peaches;decimal;;
28;AV323;cherries;decimal;;
29;AV325;other stone fruits;decimal;;
30;AV331;strawberries;decimal;;
31;AV334;other berries;decimal;;
32;AV337;grapes;decimal;;
33;AV341;oranges, mandarins;decimal;;
34;AV343;grapefruits;decimal;;
35;AV344;other citrus fruits;decimal;;
36;AV345;bananas;decimal;;
37;AV346;other tropical fruits;decimal;;
38;AV351;nuts;decimal;;
39;AV357;dried fruit;decimal;;
40;AV360;canned fruit;decimal;;
41;AV370;frozen fruit;decimal;;
42;AV390;other processed fruit;decimal;;
43;AV210;drinking milk;decimal;;
44;AV220;condensed milk or powder;decimal;;
45;AV231;cream;decimal;;
46;AV232;yogurt, soured milk;decimal;;
47;AV233;other dairy products;decimal;;
48;AV245;fresh cheese, curd;decimal;;
49;AV248;cheese;decimal;;
50;AV711;Wheat flour;decimal;;
51;AV715;Rice;decimal;;
52;AV731;Pasta;decimal;;
53;AV719;Products from other cereals;decimal;;
54;AV511;White bread;decimal;;
55;AV512;Brown bread;decimal;;
56;AV517;Other bread;decimal;;
57;AV515;Crisp bread;decimal;;
58;AV540;Fine bakery products;decimal;;
59;AV111;Beef;decimal;;
60;AV112;Veal;decimal;;
61;AV113;Pork meat;decimal;;
62;AV115;Sheep or goat meat;decimal;;
63;AV117;Game meat;decimal;;
64;AV119;other meat;decimal;;
65;AV120;Poultry meat;decimal;;
66;AV131;Minced meat;decimal;;
67;AV135;Animal offal;decimal;;
68;AV141;Sausage;decimal;;
69;AV145;Ham;decimal;;
70;AV147;Bacon;decimal;;
71;AV150;canned, frozen meat or meat products;decimal;;
72;AV160;other meat products;decimal;;
73;AV170;fish;decimal;;
74;AV180;canned fish;decimal;;
75;AV190;other fish products;decimal;;
76;AV250;fresh eggs;decimal;;
77;AV255;egg products;decimal;;
78;AV270;butter;decimal;;
79;AV291;margarine;decimal;;
80;AV293;vegetable edible oils;decimal;;
81;AV295;other edible oils;decimal;;
82;AV610;sugar;decimal;;
83;AV681;Honey;decimal;;
84;AV684;Jam;decimal;;
85;AV687;Other sweet spreads;decimal;;
86;AV620;cacao products;decimal;;
87;AV630;chocolate products;decimal;;
88;AV650;confectionary;decimal;;
89;AV670;all ice cream;decimal;;
90;AV570;long-life baked goods;decimal;;
91;AV810;fruit/vegetable juice;decimal;;
92;AV821;table water;decimal;;
93;AV825;caffeinated lemonade;decimal;;
94;AV829;other soft drinks;decimal;;
95;AV841;roasted coffee;decimal;;
96;AV845;coffee extracts;decimal;;
97;AV850;tea;decimal;;
98;AV860;spirits;decimal;;
99;AV870;beer;decimal;;
100;AV881;grape wine;decimal;;
101;AV885;grape sparkling wine;decimal;;
102;AV889;fruit wine;decimal;;
