variable;name;label;missing
GESCHL;1;male;
GESCHL;2;female;
gsc09m;1;Volksschule/Hauptschule;
gsc09m;2;Mittlere Reife/Realschule;
gsc09m;3;Abitur/Fachabitur;
gsc09m;4;Hochschule/Fachhochschule/Universität;
gsc09m;5;Sonstiger Abschluss;
gsc09m;6;Kein Abschluss;
gsc08v;1;Volksschule/Hauptschule;
gsc08v;2;Mittlere Reife/Realschule;
gsc08v;3;Abitur/Fachabitur;
gsc08v;4;Hochschule/Fachhochschuli/Universität;
gsc08v;5;Sonstiger Abschluss;
gsc08v;6;Kein Abschluss;
mutberuztak3_15;1;fully employed (100%);
mutberuztak3_15;2;more than half day;
mutberuztak3_15;3;half day (50%);
mutberuztak3_15;4;less than half day;
mutberuztak3_15;5;not at all;
vatberuztak3_15;1;fully employed (100%);
vatberuztak3_15;2;more than half day;
vatberuztak3_15;3;half day (50%);
vatberuztak3_15;4;less than half day;
vatberuztak3_15;5;not at all;
NAT_VM;1;German;
NAT_VM;2;not German;
K_FB_rauchkind_15;1;no;
K_FB_rauchkind_15;2;yes, daily;
K_FB_rauchkind_15;3;yes, several times a week;
K_FB_rauchkind_15;4;yes, once a week;
K_FB_rauchkind_15;5;yes, less often;
FFQMULTI_15;1;regularly;
FFQMULTI_15;2;as needed;
maligjead_15;0;omitted;
maligjead_15;1;yes;
maligjead_15;2;no;
maligjead_15;3;not known;
diabmut_15;1;yes;
diabmut_15;2;no;
diabmut_15;3;don't know;
diabvat_15;1;yes;
diabvat_15;2;no;
diabvat_15;3;don't know;
MUTBERU_3;1;Auszubildende/r, Student/in;
MUTBERU_3;2;kein beruflicher Abschluss;
MUTBERU_3;3;abgeschlossene beruflich-betriebliche Ausbildung;
MUTBERU_3;4;abgeschlossene beruflich-schulische Ausbildung;
MUTBERU_3;5;abgeschlossene Ausbildung an Fachschule;
MUTBERU_3;6;Fachhochschulabschluss;
MUTBERU_3;7;Hochschulabschluss;
MUTBERU_3;8;anderer beruflicher Abschluss;
VATBERU_3;1;Auszubildende/r, Student/in;
VATBERU_3;2;kein beruflicher Abschluss;
VATBERU_3;3;abgeschlossene beruflich-betriebliche Ausbildung;
VATBERU_3;4;abgeschlossene beruflich-schulische Ausbildung;
VATBERU_3;5;abgeschlossene Ausbildung an Fachschule;
VATBERU_3;6;Fachhochschulabschluss;
VATBERU_3;7;Hochschulabschluss;
VATBERU_3;8;anderer beruflicher Abschluss;
