index;name;label;valueType
1;col_id;ID;integer
2;INT_sex;gender identification;integer
3;AGE;age in years;integer
4;ausbild7;university degree;integer
5;ausbild6;degree/ graduation in a vocational college, school of engineering, polytechnic institute;integer
6;ausbild5;certificate/degree in a technical or vocational school, e.g.commercial school, business school;integer
7;ausbild8;any other vocational education;integer
8;ausbild4;apprenticeship / vocational traineeship with final examination;integer
9;ausbild;I’m still a vocational trainee / student;integer
10;Schule1;What is your highest education level?;integer
11;sportwi1;How often do you do sport in winter time?;integer
12;sportwi3;Which of the following items best describes your sports activity in winter time?;integer
13;sportso1;How often do you do sport in summer time?;integer
14;sportso3;Which of the following items best describes your sports activity in summer time?;integer
15;smoking_s0;smoking status;integer
16;erwerb;current employment status;integer
17;nojob;group of job;integer
18;packyrs_s0;packyears[number of cigarettes per day * years smoked/20];decimal
19;ncig1;average number of cigarettes smoked per day;decimal
20;ncigard;How many cigars or cigarillos/ day do you smoke on average?;decimal
21;npipes;How many pipes/ day do you smoke on average?;decimal
22;menostat_s0;Menopause status;integer
23;use_mht_s0;menopausal hormone therapy;integer
24;ocyears;How many years did you take the birth controll pill altogether?;decimal
25;babies;How many births did you have?;integer
26;diabetes_s0;Diabetes(known and diagnosed based on SHIP data);integer
27;hyp_s0;Hypertension;integer
28;mi;Have you ever been diagnosed with a heart attack by a doctor?;integer
29;apoplex;Have you ever been diagnosed with a stroke by adoctor?;integer
30;herzop;Have you ever had a heart surgery?;integer
31;cancer_s0;cancer as a chronic disease;integer
32;vat_3;Family history of heart attack (parents);integer
33;vat_4;Family history of apoplectic stroke (parents);integer
34;sib_3;Family history of heart attack (siblings);integer
35;sib_4;Family history of apoplectic stroke (siblings);integer
36;vat;Family history of diabetes (parents);integer
37;sib;Family history of diabetes (siblings);integer
38;vat_11;Family history of cancer (parents);integer
39;sib_11;Family history of cancer (siblings);integer
40;psaf_re_s;prostate-specific antigen, free;integer
41;atc_c10aa_s0;medication:statins;integer
42;atc_m01a_s0;NSAID;integer
43;mi_01;heart attack diagnosed by a doctor;integer
44;ang_01;feeling of pain or discomfort in the chest;integer
45;mi_03b5;age when the patient had a heart attack diagnosed by a doctor;decimal
46;ang_01b;age when the patient felt pain or discomfort in the chest;decimal
47;inc_mi_s0;Incident myocardial infarction;integer
48;inc_stroke_s0;Incident stroke;integer
49;herz_01;heart failure diagnose in lifetime;integer
50;inc_diab_s0;Incident type 2 diabetes;integer
51;krebs_01;cancer diagnose in lifetime;integer
52;mort_all;All-cause mortality;integer
53;mort_time_birth;time until death or time until censoring after date of birth;decimal
54;mort_cvd;Main cause of death CVD;integer
55;mort_ca;Main cause of death cancer;integer
56;tg_s;Triglycerides (total);decimal
57;chol_s;Cholesterol (total);decimal
58;ldl_s;Low density lipoprotein cholesterol;decimal
59;hdl_s;High-density lipoprotein cholesterol;decimal
60;bmi_s0;body mass index;decimal
61;bmi_s4;body mass index;decimal
62;som_tail;waist circumference;decimal
63;som_huef;hip circumference;decimal
64;food;Fleisch;integer
65;food_2;Wurstwaren;integer
66;food_3;Bratwurst, Hamburger, Döner;integer
67;food_28;Süßwaren;integer
68;food_27;Kuchen, Gebäck;integer
69;food_30;Obst- und Gemüsesäfte;integer
70;food_31;Erfrischungsgetränke;integer
71;kaffee;Wieviel Tassen koffeinhaltigen Kaffee trinken Sie im allgemeinen pro Tag?;integer
72;tee;Wieviel Tassen schwarzen Tee trinken Sie im allgemeinen pro Tag?;integer
