variable;name;label;missings
dcsex;1;male;
di13absc;1;Hauptschule/Volksschule;
di13absc;2;Mittlere Reife/Realschule;
di13absc;3;Abitur/Fachabitur;
di13absc;4;Hochschule/Fachhochschule/Universität;
di13absc;5;sonstiger Abschluss;
di13absc;6;kein Abschluss;
di14absc;0;Hochschule/Fachhochschule/Universität;
di14absc;1;kein Abschluss;
di14absc;2;Berufsschule (Lehre);
di14absc;3;Fachschule/Techniker-/Meisterschule;
di14absc;4;Ingenieur-Schule/Polytechnikum;
di14absc;5;sonstiger Abschluss;
dtemploy;1;employed-full time;
dtemploy;2;employed-part time;
dtemploy;3;housewife;
dtemploy;4;retired;
dtemploy;5;unemployed;
dtemploy;6;student;
dtemploy;7;other;
dtcigsmk;1;never;
dtcigsmk;2;former;
dtcigsmk;3;current;
dtcigsmk;4;unknown;
prev_dm_16;0;no;
prev_dm_16;1;yes;
dthyact;0;no;
dthyact;1;yes;
dtcvd;0;no;
dtcvd;1;yes;
dtmstati;0;no;
dtmstati;1;yes;
inz_mi_16;0;no;
inz_mi_16;1;yes;
mi_alter_16;0;no;
mi_alter_16;1;yes;
inz_apo_16;0;no;
inz_apo_16;1;yes;
inz_dm_16;0;no;
inz_dm_16;1;yes;
dm_alter_16;0;no;
dm_alter_16;1;yes;
t_all_16;0;no;
t_all_16;1;yes;
t_cvd_16;0;no;
t_cvd_16;1;yes;
t_ca_16;0;no;
t_ca_16;1;yes;
inz_apo_isc_16;0;no;
inz_apo_isc_16;1;yes;
inz_apo_haem_16;0;no;
inz_apo_haem_16;1;yes;
dtmvcvd;0;no;
dtmvcvd;1;yes;
dtmvcvd;2;I don't know;
dtmvdiab;0;no;
dtmvdiab;1;yes;
dtmvdiab;2;I don't know;
dtmvca;0;no;
dtmvca;1;yes;
dtmvca;2;I don't know;
