variable;name;label;missing
dcsex;1;male;
di13absc;1;Hauptschule/Volksschule;
di13absc;2;Mittlere Reife/Realschule;
di13absc;3;Abitur/Fachabitur;
di13absc;4;Hochschule/Fachhochschule/Universität;
di13absc;5;sonstiger Abschluss;
di13absc;6;kein Abschluss;
di14absc;0;Hochschule/Fachhochschule/Universität;
di14absc;1;kein Abschluss;
di14absc;2;Berufsschule (Lehre);
di14absc;3;Fachschule/Techniker-/Meisterschule;
di14absc;4;Ingenieur-Schule/Polytechnikum;
di14absc;5;sonstiger Abschluss;
dtcigsmk;1;never;
dtcigsmk;2;former;
dtcigsmk;3;current;
dtcigsmk;4;unknown;
