variable;name;label
sex;1;male
sex;2;female
school;1;no formal education
school;2;Hauptschule
school;3;secondary School(Realschule in FRG)
school;4;polytechn.secondary school(POS in GDR)
school;5;qualif. F.university of applied sciences(Fachholschulreife)
school;6;A-levels/university entrance qualif.(Abitur)
school;7;other
occup_edu_h;1;no vocational education
occup_edu_h;2;training period
occup_edu_h;3;apprenticeship(Lehre)
occup_edu_h;4;vocational school(Berufsschule)
occup_edu_h;5;technical school(Fachschule)
occup_edu_h;6;university of applied sciences(Fachhochschule)
occup_edu_h;7;university
occup_edu_h;8;other
smoker;1;Current Smoker
smoker;2;Ex Smoker
smoker;3;Never Smoker
