variable;name;label;missing
sex;1;männlich;
sex;2;weiblich;
schulab_corr;1;Schüler;
schulab_corr;2;ohne Abschluss;
schulab_corr;3;Hauptschul;
schulab_corr;4;Realschul;
schulab_corr;5;Polytechn OS 8./9. Kl;
schulab_corr;6;Polytechn OS 10.Kl.;
schulab_corr;7;Fachhochschul;
schulab_corr;8;Abitur;
schulab_corr;9;Abitur 2. Bild.weg;
schulab_corr;10;anderer Schulabschluss;
schulab_corr;999;weiß nicht;
schulab_corr;888;k.A.;
berufab1;1;ja;
berufab1;2;nein;
berufab1;999;weiß nicht;
berufab1;888;keine Angabe;
berufab2;1;ja;
berufab2;2;nein;
berufab2;999;weiß nicht;
berufab2;888;keine Angabe;
berufab3;1;ja;
berufab3;2;nein;
berufab3;999;weiß nicht;
berufab3;888;keine Angabe;
berufab4;1;ja;
berufab4;2;nein;
berufab4;999;weiß nicht;
berufab4;888;keine Angabe;
berufab5;1;ja;
berufab5;2;nein;
berufab5;999;weiß nicht;
berufab5;888;keine Angabe;
berufab6;1;ja;
berufab6;2;nein;
berufab6;999;weiß nicht;
berufab6;888;keine Angabe;
berufab7;1;ja;
berufab7;2;nein;
berufab7;999;weiß nicht;
berufab7;888;keine Angabe;
berufab8;1;ja;
berufab8;2;nein;
berufab8;999;weiß nicht;
berufab8;888;keine Angabe;
berufab9;1;ja;
berufab9;2;nein;
berufab9;999;weiß nicht;
berufab9;888;keine Angabe;
berufab10;1;ja;
berufab10;2;nein;
berufab10;999;weiß nicht;
berufab10;888;keine Angabe;
berufab11;1;ja;
berufab11;2;nein;
berufab11;999;weiß nicht;
berufab11;888;keine Angabe;
berufab12;1;ja;
berufab12;2;nein;
berufab12;999;weiß nicht;
berufab12;888;keine Angabe;
erwerb;1;Vollzeit;
erwerb;2;Teilzeit;
erwerb;3;Altersteilzeit;
erwerb;4;geringfügig/400 Euro/Minijob;
erwerb;5;Ein-Euro-Job bei ALGII;
erwerb;6;gelegentlich, untregelmäßig beschäftigt,;
erwerb;7;in beruflicher Ausbildung/Lehre,;
erwerb;8;Umschulung,;
erwerb;9;Bundes-freiwilligen-dienst, FSJ, FÖJ,;
erwerb;10;Beurlaubung,;
erwerb;11;nicht erwerbstätig (Schüler, Studenten, Arbeitslose, Rentner, Vorruheständler ohne Nebenverdienst),;
erwerb;999;999-weiß nicht,;
erwerb;888;888-k.A.;
situation;1;Schüler;
situation;2;Student;
situation;3;Rentner/Pensionär/ Vorruhestand;
situation;4;Arbeitslos;
situation;5;dauerhaft erwerbsunfähig;
situation;6;Hausfrau/mann;
situation;7;sonstiges;
situation;999;999-weiß nicht;
situation;888;888-k.A.;
gebland1;1;Deutschland;
gebland1;2;anderes Land;
stan_deu;1;deutsch;
stan_deu;2;keine deutsche;
rauchstatus;1;nie;
rauchstatus;2;ja bis heute;
rauchstatus;3;ja früher;
rauch_zigperiod;1;pro Tag;
rauch_zigperiod;2;pro Woche;
rauch_zigperiod;3;pro Monat;
rauch_pipeperiod;1;pro Tag;
rauch_pipeperiod;2;pro Woche;
rauch_pipeperiod;3;pro Monat;
wechseljahre;1;ja aktuell;
wechseljahre;2;ja hatte schon;
wechseljahre;3;nein;
wechseljahre;4;nicht sicher;
wechseljahre;999;weiß nicht;
wechseljahre;888;k.A.;
zyk_rgm;1;ja;
zyk_rgm;2;nein;
zykaus_1;1;ja;
zykaus_1;2;nein;
zykaus_2;1;ja;
zykaus_2;2;nein;
zykaus_3;1;ja;
zykaus_3;2;nein;
hormonersatz;1;ja;
hormonersatz;2;nein;
hormonersatz;999;weiß nicht;
hormonersatz;888;k.A.;
diab_diagnose_m;1;ja;
diab_diagnose_m;2;nein;
diab_diagnose_m;999;weiß nicht;
diab_diagnose_m;888;k.A.;
diab_diagnose_f;1;ja Erstdiagnose während Schwangerschaft, danach kein Diabetes mehr;
diab_diagnose_f;2;ja Erstdiagnose während Schwangerschaft, danach weiterhin Diabetes;
diab_diagnose_f;3;ja Erstdiagnose außerhalb einer Schwangerschaft;
diab_diagnose_f;4;nein;
diab_diagnose_f;999;999-weiß nicht,;
diab_diagnose_f;888;888-k.A.;
bhd_diagnose;1;ja;
bhd_diagnose;2;nein;
bhd_diagnose;3;weiß nicht;
hi_diagnose;1;ja;
hi_diagnose;2;nein;
hi_diagnose;3;weiß nicht;
hkg_diagnose;1;ja;
hkg_diagnose;2;nein;
hkg_diagnose;3;weiß nicht;
hschw_diagnose;1;ja;
hschw_diagnose;2;nein;
hschw_diagnose;3;weiß nicht;
schlag_diagnose;1;ja;
schlag_diagnose;2;nein;
schlag_diagnose;3;weiß nicht;
hrhyt_diagnose;1;ja;
hrhyt_diagnose;2;nein;
hrhyt_diagnose;3;weiß nicht;
kre_diagnose;1;ja;
kre_diagnose;2;nein;
kre_diagnose;3;weiß nicht;
ebf_behandl;1;ja;
ebf_behandl;2;nein;
ebf_behandl;999;weiß nicht;
ebf_behandl;888;k.A.;
